127.0.0.1 - - [03/Apr/2023:10:04:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:04:14 +0900] "GET /study/index.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:04:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:16:48 +0900] "GET /study/index.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:27:58 +0900] "GET /study/htmlEx/ch02/ex01.html HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:35:07 +0900] "GET /study/htmlEx/ch02/ex01.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:41:31 +0900] "GET /study/htmlEx/ch02/ex02_h.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [03/Apr/2023:10:48:41 +0900] "GET /study/htmlEx/ch02/ex02_h.html HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:08:35 +0900] "GET /study/htmlEx/ch02/ex02_h.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:08:35 +0900] "GET /study/htmlEx/ch02/ex02_h.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:08:37 +0900] "GET /study/htmlEx/ch02/ex03.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:23:04 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:23:53 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:28:11 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:29:46 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:29:55 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:32:49 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:11 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:12 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:15 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:16 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:16 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:16 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:17 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:17 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:17 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:57 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:34:58 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:40:15 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:40:16 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:23 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:36 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:36 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:38 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:39 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:39 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:41:42 +0900] "GET /study/htmlEx/ch02/ex04.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:47:09 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:47:20 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:47:30 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:47:37 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:49:21 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:50:06 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:50:07 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:50:08 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:11:50:08 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:04:16 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:06:09 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:06:48 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:06:49 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:06:50 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:06:50 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:07:39 +0900] "GET /study/htmlEx/ch02/ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:15:44 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:21:10 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:22:14 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:22:15 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:22:39 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:22:40 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:26:54 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:26:55 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:27:28 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:28:18 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:32:07 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:32:07 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:32:43 +0900] "GET /study/htmlEx/ch02/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:38:03 +0900] "GET /study/htmlEx/ch02/ex07.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:39:59 +0900] "GET /study/htmlEx/ch02/ex07.html HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [03/Apr/2023:12:42:41 +0900] "GET /study/htmlEx/ch02/ex07.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:06:48 +0900] "GET /study/htmlEx/ch03/ex01.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:13:12 +0900] "GET /study/htmlEx/ch03/ex01.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:29 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:29 +0900] "GET /study/htmlEx/ch03/test.css HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:26:05 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:26:25 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:26:25 +0900] "GET /study/htmlEx/ch03/test.css HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:37:05 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:13 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:14 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:14 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:15 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
